date,read,link
3월 23일,잠언 11-16장,https://www.youtube.com/playlist?list=PL-MVshquUXWFOYXNRxQa7V67jSiClmcMC
3월 25일,잠언 17-21장,https://www.youtube.com/playlist?list=PL-MVshquUXWHJPl78WmclxaP4yZhb2HJY
3월 26일,잠언 22-26장,https://www.youtube.com/playlist?list=PL-MVshquUXWFCspyNuE-2pyWFlVq5kweI
3월 27일,잠언 27-31장,https://www.youtube.com/playlist?list=PL-MVshquUXWEpnn_900Z3J7uy02pqAhvZ
3월 28일,아가서 1-4장,https://www.youtube.com/playlist?list=PL-MVshquUXWHZBfB-veh9rzBhjsqDVjuS
3월 29일,아가서 5-8장,https://www.youtube.com/playlist?list=PL-MVshquUXWHaSUlm3ZYPu31vgQyMo9xG
3월 30일,"열왕기상 11장, 전도서 1-3장 ",https://www.youtube.com/playlist?list=PL-MVshquUXWF7s7DsOwCPTLkGXXxC-Ptd
4월 1일,전도서 4-7장,https://www.youtube.com/playlist?list=PL-MVshquUXWHQeEqTAlil2fPaAdsFkSca
4월 2일,전도서 8-12장,https://www.youtube.com/playlist?list=PL-MVshquUXWGPDT0ViIBT90Lt4B0ftCvp
4월 3일,욥기 1-5장,https://www.youtube.com/playlist?list=PL-MVshquUXWEWg28kuqB0OifbNcQF0CCU
4월 4일,욥기 6-10장,https://www.youtube.com/playlist?list=PL-MVshquUXWErt5V1aTy-jat5yHqe_yoF
4월 5일,욥기 11-14장,https://www.youtube.com/playlist?list=PL-MVshquUXWH7BPUVw-k935AdEanNIc0y
4월 6일,욥기 15-19장,https://www.youtube.com/playlist?list=PL-MVshquUXWEMONF_-tAEMmoQkMaJcqI4
4월 8일,욥기 20-24장,https://www.youtube.com/playlist?list=PL-MVshquUXWHb_ddyFGLf3wIDUysUrBMU
4월 9일,욥기 25-28장,https://www.youtube.com/playlist?list=PL-MVshquUXWEp2AKrOBZuxU-4inNewbTt
4월 10일,욥기 29-31장,https://www.youtube.com/playlist?list=PL-MVshquUXWEw0luCqWtFX2YijEYTjidH
4월 11일,욥기 32-37장,https://www.youtube.com/playlist?list=PL-MVshquUXWE3WuXC44TJuYG-C4V4CnSL
4월 12일,욥기 38-42장,https://www.youtube.com/playlist?list=PL-MVshquUXWGb5_B2ZBd3Za8tc61-Jtcu
4월 13일,"시편 1-2,4-9편 ",https://www.youtube.com/playlist?list=PL-MVshquUXWFcLJ34ajg7_I0OQREP2Gy-
4월 15일,시편 10-16편,https://www.youtube.com/playlist?list=PL-MVshquUXWFNDCaV2gusHbDLhLAFlO2W
4월 16일,시편 17-21편,https://www.youtube.com/playlist?list=PL-MVshquUXWHJcx978GEJePMHnoaMw9YY
4월 17일,시편 22-26편,https://www.youtube.com/playlist?list=PL-MVshquUXWGMuTiu9vB7rc1I9utZJi3H
4월 18일,시편 27-31편,https://www.youtube.com/playlist?list=PL-MVshquUXWFn4YVi4TYZqc5dYAtM7_AG
4월 19일,"시편 32-33,35-36편 ",https://www.youtube.com/playlist?list=PL-MVshquUXWFzRAbLg2736GcKUcc4gyk_
4월 20일,시편 37-41편,https://www.youtube.com/playlist?list=PL-MVshquUXWH-2MwQcoCwHl8I5HUp29Y4
4월 22일,"시편 42-50,53편 ",https://www.youtube.com/playlist?list=PL-MVshquUXWGIw2u2um-HwftRPbRSxeB9
4월 23일,"시편 55-56,58,60-63편 ",https://www.youtube.com/playlist?list=PL-MVshquUXWE6C2AtCuiN9N2HYPEi29qB
4월 24일,시편 64-69편,https://www.youtube.com/playlist?list=PL-MVshquUXWENJVA4-9BHEW2PoDl5clMh
4월 25일,시편 70-75편,https://www.youtube.com/playlist?list=PL-MVshquUXWEk0-FUhrUmtIspbwXeTuLL
4월 26일,시편 76-79편,https://www.youtube.com/playlist?list=PL-MVshquUXWHIrtI1SNoC_uhdEK_6x27x
4월 27일,시편 80-85편,https://www.youtube.com/playlist?list=PL-MVshquUXWFL627nnXiOpzSw5H3WPaGz
4월 29일,시편 86-89편,https://www.youtube.com/playlist?list=PL-MVshquUXWH8ukiHdkp6yGsVt-0qfG2C
4월 30일,시편 91-94편,https://www.youtube.com/playlist?list=PL-MVshquUXWFzCRaP1IGkVS2jPMjZFOKE
5월 1일,시편 95-98편,https://www.youtube.com/playlist?list=PL-MVshquUXWFnG0DK9PKIbnVs6PWjCV1S
5월 2일,시편 99-103편,https://www.youtube.com/playlist?list=PL-MVshquUXWGWteJSORxJALD1VZy4jrIu
5월 3일,시편 104-108편,https://www.youtube.com/playlist?list=PL-MVshquUXWEQZU4csWCtT5Ad-8xdwn0h
